_projectid,_teacher_acctid,_schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_zip,school_metro,school_district,school_county,school_charter,school_magnet,school_year_round,school_nlns,school_kipp,school_charter_ready_promise,teacher_prefix,teacher_teach_for_america,teacher_ny_teaching_fellow,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,vendor_shipping_charges,sales_tax,payment_processing_charges,fulfillment_labor_materials,total_price_excluding_optional_support,total_price_including_optional_support,students_reached,total_donations,num_donors,eligible_double_your_impact_match,eligible_almost_home_match,funding_status,date_posted,date_completed,date_thank_you_packet_mailed,date_expiration
"""a4e731d40ba1e91480058b84c72dcb22""","""59a365f35b41dd668130fd144e10d60b""","""9c7e5ceeabc970710da96e2bf8c61789""",,40.836655,-73.937113,NEW YORK,BA,10032,,,New York (Manhattan),f,f,f,f,f,f,Ms.,t,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades 6-8,,,,,185.53,226.26,0,214,2,f,f,completed,8/3/03,9/22/2003,,4/3/04
"""4d3a85e75e5cbeb406a0c9a3acda1109""","""59a365f35b41dd668130fd144e10d60b""","""9c7e5ceeabc970710da96e2bf8c61789""",,40.836655,-73.937113,NEW YORK,BA,10032,,,New York (Manhattan),f,f,f,f,f,f,Ms.,t,f,Other,Applied Learning,,,Other,highest poverty,Grades PreK-2,,,,,0,0,0,0,0,f,f,expired,1/18/2004,,,9/18/2004
"""1acb35b7a0d356487812b318f85547c5""","""73a76dee771a2de090016a642e9afe6a""","""3706b4dd4d68da21df7015cba19dbc02""",3.60E+11,40.80616,-73.94802,New York,BA,10027,urban,New York City Dept Of Ed,New York (Manhattan),t,f,f,t,f,f,Mr.,t,f,Social Sciences,History & Civics,Music,Music & The Arts,Supplies,high poverty,Grades 6-8,,,,,165.03,201.26,0,190,1,f,f,completed,8/3/03,8/8/03,11/14/2003,9/30/2004
"""10f3450b5aeaebd4390208c1e8e8319a""","""00268bcb3aee56eb35397e856efb3be4""","""906db3b4864f6502bea0392909d27afe""",3.60E+11,40.649203,-74.012325,Brooklyn,BA,11220,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,Mathematics,Math & Science,Books,highest poverty,Grades PreK-2,,,,,145.55,177.5,0,168,1,f,f,completed,9/9/03,9/23/2003,2/17/2004,5/9/04
"""29a50f420a91beb2b94dc56523ff4858""","""3fe6170d9415ca285b91ce0a8d76fd29""","""abbfbeb00a03b8173086f95b9a7662a3""",3.60E+11,40.690875,-73.971237,Brooklyn,BA,11205,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,Literacy,Literacy & Language,Books,highest poverty,Grades PreK-2,,,,,180.4,220,0,193,2,f,f,completed,7/17/2003,8/18/2003,11/21/2003,3/17/2004
"""1dc2161e204b2d8aebe8afa240a02b5a""","""b3455f73f23da78b7761fec2f241b9b0""","""768dab263f87881fe7c68ffb3965df7c""",3.60E+11,40.841216,-73.938605,New York,BA,10032,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,,,Technology,highest poverty,Grades 3-5,,,,,490,597.56,0,564,1,f,f,completed,8/4/03,5/18/2004,8/16/2004,4/4/04
"""ea2b9793afcba0da592ffea82aac27a3""","""731b42535d2b460ffdc223fefae4827c""","""78f4d1aff0f887f59a914a7cb022edc0""",3.60E+11,40.809286,-73.917742,Bronx,BA,10454,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,t,Literacy,Literacy & Language,,,Technology,highest poverty,Grades 3-5,,,,,226.47,276.18,0,262,2,f,f,completed,8/4/03,1/8/04,3/29/2004,4/4/04
"""15970e9fad37a7b3da80bc8a78a2e738""","""942e322995709d6d6b06cd8694ea4f8e""","""c186ee85143fe0320210e3dd3a5ecb6c""",3.60E+11,40.718563,-73.984172,New York,BA,10002,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Mrs.,f,f,Other,Applied Learning,,,Books,highest poverty,Grades PreK-2,,,,,496.1,605,0,571,1,f,f,completed,7/17/2003,11/4/03,2/3/04,3/17/2004
"""4d6289c84eaa1a454835b570003daacd""","""942e322995709d6d6b06cd8694ea4f8e""","""c186ee85143fe0320210e3dd3a5ecb6c""",3.60E+11,40.718563,-73.984172,New York,BA,10002,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,,,Supplies,highest poverty,Grades PreK-2,,,,,55.35,67.5,0,64,1,f,f,completed,7/17/2003,7/18/2003,11/19/2003,3/17/2004
"""55488383941c59707cfa97989b8113b0""","""942e322995709d6d6b06cd8694ea4f8e""","""c186ee85143fe0320210e3dd3a5ecb6c""",3.60E+11,40.718563,-73.984172,New York,BA,10002,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,Literacy,Literacy & Language,Supplies,highest poverty,Grades PreK-2,,,,,89.18,108.76,0,103,1,f,f,completed,7/17/2003,8/12/03,11/21/2003,3/17/2004
